Agent,City,Company,Description,Listing_ref,Price_2015,Price_2016,Price_2017,Price_2018,Price_2019,Price_2020,Price_2021,Price_2022,Price_2023,Price_2024,Price_2025,Property_type,Province,Surbub,amenities,bathrooms,bedrooms,building_area,land_area,listing_url
Rumbi Machingura,Harare West,/estate-agents/plaza-properties,"Attention property investors! This is an excellent opportunity to transform a substantial 4393 sqm property into your next success story. The existing house features 3 bedrooms (including a main en-suite), a kitchen, dining area, lounge, and a family bathroom with toilet, plus a stand-alone garage. The generous size of the land opens up possibilities for expansion and cluster development, making it an attractive investment. With title deed available, don’t miss your chance to capitalize on this promising project. Contact us today to arrange a viewing!",Listing ref: PLZP205024,135000.0,135000.0,140000.0,150000.0,150000.0,150000.0,160000.0,160000.0,177000.0,270000.0,"USD 250,000 ",House,Harare,Marlborough,"Borehole,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Parking bay,Solar System,Split Level,Staff Quarters,Tiled,Verandah,Walled,Water Tank",2,3,200 m²,"4,393 m²",https://www.property.co.zw//for-sale/houses-plzp205024
Sarah Langerman,Harare North,/estate-agents/pam-golding,"With a total of 7 bedrooms between the house and cottages, this beautiful property spans 8,751sqm, is nestled on one of the most sought-after roads in Chisipite, and has so much to offer. The heart of this property is the beautiful family home, designed for comfort, relaxation, and entertainment. With 3 spacious bedrooms, each with ample storage and natural light, you'll have plenty of room for the family. There are 3 bathrooms, of which 2 are en-suite and a separate family bathroom. The large, fitted kitchen is perfect for whipping up a culinary storm, while the dining room with cozy fireplace is ideal for family gatherings. And when you need some downtime, the lounge with fireplace is the perfect spot to unwind. A large veranda is perfect for relaxing and entertaining whilst you enjoy the well-loved garden. And with parquet and tile flooring throughout, you'll love the warmth and elegance that fills every room. There is a sparkling chip-tile pool in the front garden for those hot summer days. But that's not all – this property also features a charming stand-alone cottage and an attached cottage, each with 2 bedrooms, 2 bathrooms (1 en-suite), and approximately 130sqm of living space excluding verandas. The lounges each have fireplaces and are comfortable and self-contained - perfect for guests, family members, or as an income-generating opportunity. With 3 boreholes on the property, including a main borehole that's proven to be very consistent in drier years. A 320,000 litre tank harvesting rainwater with a water treatment system with 20,000 litre storage ensures clean and safe drinking water for you and your loved ones. The main house is completely off-grid, affording peace of mind for power supply. Both cottages are also on solar. Solar geysers are also fitted throughout the main house and cottages. A 16KVA generator is also fitted for additional back-up power. A separate laundry is very convenient, along with neat staff accommodation. Panhandle access means a private and secluded setting, yet it’s conveniently located near top schools, Highlands Park, Paddington Square, and other amenities. An electric gate and electric fence add an extra layer of security. Don't miss this rare opportunity. Contact Sarah today to schedule a viewing and make this incredible property your dream home!",Listing ref: PGP215952,320000.0,295000.0,320000.0,300000.0,280000.0,317500.0,325000.0,440000.0,490000.0,550000.0,"USD 780,000 ",House,Harare,Chisipite,"Borehole,Swimming Pool,Carport,Electric Fence,Electric Gate,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Main En Suite,Solar System,Staff Quarters,Tiled,Verandah,Walled,Water Tank,Wooden Floor",3,3,250 m²,"8,751 m²",https://www.property.co.zw//for-sale/houses-pgp215952
,Harare South,javascript:;,"Welcome to your future oasis in Arlington, an exclusive townhouse complex nestled in the vibrant heart of Harare South. This elegant property boasts a spacious 3-bedroom, 2-bathroom layout encompassing a modern 209 m² interior on a generous 449 m² plot. Experience the perfect blend of comfort and style, with a sleek tiled finish throughout. Indulge in the convenience of a fully fitted kitchen and the privacy of a main en suite bedroom. Enjoy the peace of reliable utilities with good ZESA, a dedicated water tank, and municipal water supply. Stay connected with seamless internet access perfect for work or leisure. The property is both secure and inviting, featuring a walled perimeter and a paved driveway leading to your private parking bay. Entertain guests or unwind in the expansive verandah and lush garden, while a solar system ensures sustainability and reduced energy costs. Conveniently connected to Harare's dynamism, the townhouse is surrounded by tarred roads and benefits from a full sewer system, promising modern urban living at its finest. This is more than just a home; it's your gateway to an elevated lifestyle in one of Harare's most coveted communities. Discover the perfect blend of luxury and practicality today!",Listing ref: LEAN218649,70000.0,,,0.0,95000.0,109000.0,115000.0,125000.0,147000.0,155000.0,"USD 158,000 ",House,Harare,Arlington,"Entertainment Area,Fitted Kitchen,Garden,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Parking bay,Paved,Sewer System,Solar System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",2,3,209 m²,449 m²,https://www.property.co.zw//for-sale/townhouses-lean218649
Tinashe Zengeya,Greendale,/estate-agents/homelux-real-estate,"Conveniently located a stone throw away from Honeydew Shopping Centre (Food Lover's Market Greendale) these brand new cluster houses offer the best in terms of lifestyle. The 9 unit complex is very secure, perfect for rightsizing at retirement or young startup family. Each unit features an open plan fitted kitchen, lounge and dining area. The 3 large bedrooms are fitted with modern BICs and the bathrooms are well fitted with contemporary finishes. The is a good borehole at the complex, 24 hour security and a live in caretaker who is responsible for the general maintenance of the complex. each unit has 2 parking bays and there is also provision of visitors parking. Sectional title.",Listing ref: HLX169203,180000.0,160000.0,200000.0,207000.0,150000.0,155000.0,192000.0,230000.0,230000.0,250000.0,"USD 210,000 ",House,Harare East,Colbell,"Electric Fence,Electric Gate,Entertainment Area,Fitted Kitchen,Garden,Good ZESA,Internet Connection,Main En Suite,Parking bay,Tiled,Verandah,Walled,Water Tank",2,3,200 m²,"4,047 m²",https://www.property.co.zw//for-sale/townhouses-hlx169203
Leeroy Torerai,Harare West,/estate-agents/tripple-horizon-real-estate,"MARLBOROUGH NORTH HOUSE FOR SALE! US$310,000 Location: Close to 2nd Street Extension & Harare Drive Main House Features: - 3 spacious bedrooms, master with en-suite - Modern kitchen with pantry - Spacious lounge with chimney - Dining room - Common toilet and bath - Land size: 4000m² Extras: - 2 x 2-bedroom cottages with kitchens - Prolific borehole - Walled and gated property - Carport Deeds available!",Listing ref: THRE217328,135000.0,135000.0,140000.0,150000.0,150000.0,150000.0,160000.0,160000.0,177000.0,270000.0,"USD 310,000 ",House,Harare,Marlborough,"Borehole,Carport,Burglar Alarm,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Good ZESA,Garden,Internet Connection,Main En Suite,Main Road Frontage,Tarred Roads,Walled,Water Tank,Workshop",2,3,500 m²,"4,000 m²",https://www.property.co.zw//for-sale/houses-thre217328
Keith Takawira,Bulawayo High-Density,/estate-agents/guest-and-tanner,Cowdray park 3Bedroom Sunken lounge Bedroom with provision for en-suite Corner stand 290sqm Asking price $19000,Listing ref: GAT197386,25000.0,25000.0,26000.0,26000.0,26000.0,25000.0,25000.0,27000.0,27000.0,26000.0,"USD 17,000 ",House,Bulawayo,Cowdray Park,,2,3,140 m²,290 m²,https://www.property.co.zw//for-sale/houses-gat197386
Takawira Nyeve,Bulawayo East,/estate-agents/ranangaproperties,"Main House (Roof Level, Partially Roofed) -4 Bedrooms – All with BIC and 3 with en-suites -Sunken Lounge – With double chimney -Sun Lounge – Perfect for natural light lovers -Dining Room -Kitchen – Spacious layout with scullery -Family Bathroom & Separate Toilet Additional Features -Cottage (4-Roomed, Incomplete at Window Level) -Borehole (Unequipped) -Durawalled & Gated (Sliding Gate) -Beautifully mantained garden Finish to your taste & create your dream home!",Listing ref: RANG210769,140000.0,130000.0,135000.0,140000.0,120000.0,137500.0,167500.0,150000.0,180000.0,165000.0,"USD 90,000 ",House,Bulawayo,Sunning Hill,"Borehole,Fireplace,Flatlet/Cottage,Garden,Good ZESA,Main En Suite,Municipal Water,Sewer System,Tarred Roads,Verandah,Walled,Water Tank",4,4,250 m²,"4,000 m²",https://www.property.co.zw//for-sale/houses-rang210769
Sarah Langerman,Harare North,/estate-agents/pam-golding,"** ONLY 1 UNIT LEFT Pam Golding Properties is proud to offer these off-plan townhouses with a difference. Located on Princess Drive in Newlands, an area with excellent historical water and a very convenient location. Incorporating multiple courtyards and a beautiful garden space means making the best of our beautiful climate with indoor/outdoor living. The 3 bedrooms are all en-suite and all open up to a green space. The master also providing a walk-in-wardrobe. The open plan kitchen, dining and living area open out to a beautiful patio and spacious garden. An additional study also opens out to a courtyard for a lovely work from home environment. Very useful are the separate scullery and utility room attached to the kitchen. Payment terms are available. Call Sarah today to secure your unit in this beautiful development.",Listing ref: PGP202934,285000.0,310000.0,230000.0,215000.0,300000.0,297000.0,250000.0,310000.0,350000.0,380000.0,"USD 345,000 ",House,Harare,Newlands,"Borehole,Electric Gate,Fitted Kitchen,Garden,Main En Suite,Parking bay,Paved,Study/Office,Walled",3,3,200 m²,600 m²,https://www.property.co.zw//for-sale/townhouses-pgp202934
Prince Karimanzira,Harare South,/estate-agents/khalida-realty,Hatfield house for sale A well positioned property in a Commercial/light industrial area. This property is located near Seke road for about a km. 4 bedroomed house with 2 en-suite bathroom Kitchen with tile flooring Dining with ceramic tile flooring Lounge Combined bathroom with toilet All bedrooms have granolithic flooring Single lock up garage Walled and gated Partly paved 5000 litre tank Sitting on a 2000m² Parent Deed Caledon road close to Seke road Subdivision permit. (in process of getting Title Deeds) Asking for US$.00,Listing ref: KHA190954,100000.0,110000.0,110000.0,130000.0,127500.0,110000.0,125000.0,125000.0,140000.0,160000.0,"USD 155,000 ",House,Harare,Hatfield,,2,4,310 m²,"2,000 m²",https://www.property.co.zw//for-sale/houses-kha190954
Silvester Gwashavanhu,Harare North,/estate-agents/seeff,"Welcome to this beautiful family home, situated in the leafy neighborhood of Hogerty Hill, Harare North, . This mesmerizing property promises an opulent lifestyle with its sprawling 3401 m² land area and a generous 500 m² building area. Offering 5 expansive bedrooms and 4 contemporary bathrooms, every room in this house bubbles with comfort, style, and warmth. From the comfortable beds to the polished furniture, everything comes fully furnished, adhering to the highest standards of quality and aesthetic. The spacious living areas, enhanced with natural light, promise to be the perfect space for your gatherings, parties, or simply a relaxing evening with family. The modern kitchen is fully equipped with all the necessary amenities, perfect for honing your culinary skills. One of the exemplary features of this property is the borehole providing a reliable water supply - a coveted asset in these parts. This ensures that your luscious and manicured garden area will always remain vibrant, and you never have to worry about water shortages. Get enchanted with this property's charm, beautifully presented with a mix of comfort, style, and luxury. Enjoy tranquility while being superbly located within the heart of Harare. This may be the dream home you have been looking for!",Listing ref: SEF212920,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 1,300,000 ",House,Harare,Hogerty Hill,"Borehole,Fully Furnished,Air Conditioning,Burglar Alarm,Double Storey,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Parking bay,Paved,Solar System,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,5,500 m²,"3,401 m²",https://www.property.co.zw//for-sale/houses-sef212920
Memory Memory,Harare North,/estate-agents/sermony,"Commercial Property for Sale – Belgrave Spacious commercial premises in Belgrave featuring 2 lounges, 2 gents’ toilets, 1 room, 2 ladies’ toilets, 2 kitchens, and staff quarters. The property is walled and gated for security. Dilapidated and in need of renovation, but offers great potential for offices, clinics, or service businesses.",Listing ref: SMY217348,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 400,000 ",House,Harare,Belgravia,"Borehole,Fitted Kitchen,Garden,Good ZESA,Parking bay,Study/Office,Tarred Roads,Tiled,Verandah,Walled",4,3,150 m²,"1,000 m²",https://www.property.co.zw//for-sale/houses-smy217348
Malini Patel,Harare North,/estate-agents/pam-golding,"Ideally Located Property in the Commercial part of Belgravia. Welcome to a unique opportunity in a highly sought-after area! This ideally situated property boasts a prime location that offers the best of both worlds - Convenience and Potential. Currently featuring a tear-down house, this site presents a blank canvas for your vision, whether you’re looking to develop a residential oasis or a thriving commercial space. Key Features: - Prime Location: Nestled in a vibrant neighborhood of Belgravia, this property is perfectly positioned for both residential and commercial development. - Versatile Zoning: The property is in a zone for mixed-use, allowing for a variety of possibilities, from single-family homes to multi-family units or commercial enterprises. - Development Potential: With ample square metreage and a spacious lot, the possibilities are endless. Imagine building your dream home, a boutique shop, or a cozy café/restaurant that takes advantage of the bustling community atmosphere. - Community Amenities: Just minutes away from parks, schools, shopping, and dining, this location offers the convenience and lifestyle that attracts residents and businesses alike. - Investment Opportunity: Whether you’re a Developer looking for your next project or an Investor seeking a property with significant upside potential, this site is a rare find. -Total land size 3688 sqm. Good ZESA and Municipal Water Don’t miss out on the chance to transform this property into something extraordinary. Schedule a viewing with Malini today and explore the endless possibilities!",Listing ref: PGP216951,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 550,000 ",House,Harare,Belgravia,,1,3,180 m²,"3,688 m²",https://www.property.co.zw//for-sale/houses-pgp216951
Lucile Marovatsanga,Harare North,/estate-agents/lucile,"An incomplete 4-Bedroom House for Sale in Greystone Park Located in the desirable area of Greystone park off Carrick Creagh road incomplete 4-bedroom house offers a unique opportunity for buyers to put their own finishing touches on their dream home. Sitting on a spacious 2000sqm plot, this property boasts: - 4 spacious bedrooms, including a main bedroom with en-suite bathroom - Open-plan kitchen, dining, and lounge area, perfect for modern living and entertaining - Double lock-up garage for secure parking - Ample space for outdoor living and entertainment While the house is incomplete, it provides a solid foundation for buyers to complete according to their own specifications and design preferences.",Listing ref: LCRE211629,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 340,000 ",House,Harare,Greystone Park,,2,4,,"2,000 m²",https://www.property.co.zw//for-sale/houses-lcre211629
Eddson Tafa,Harare North,/estate-agents/tripple-horizon-real-estate,"Brookview  $280k Double storey  8 bedrooms 3 ensuites 3 lounges dining kitchen , triple garage  borehole NB - upstairs needs finishings Deeds for viewings please call Eddie",Listing ref: THRE217607,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 280,000 ",House,Harare,Brookview,,3,8,"1,500 m²","4,200 m²",https://www.property.co.zw//for-sale/houses-thre217607
Kuda Makawa,Harare High Density,/estate-agents/pam-golding,"New listing in Glenview 3 Extension with Title Deed  on 300 square meters comprising 4 bedrooms with ensuite bathroom , lounge with fireplace,  fitted kitchen. The property is walled and gated.",Listing ref: PGP205397,39000.0,35000.0,38000.0,36000.0,30000.0,32000.0,35000.0,35000.0,35000.0,40000.0,"USD 46,000 ",House,Harare,Glen View,"Fireplace,Fitted Kitchen,Main En Suite,Verandah,Walled",2,4,200 m²,300 m²,https://www.property.co.zw//for-sale/houses-pgp205397
Aaron Kalisa,Harare North,/estate-agents/propertynetrealtor,"Property Details - Location: Belgravia, along Lincoln and Downie Road - Plot Size: 3800 square meters - Stand Type: Corner stand - Title Deeds: Full title deeds available Property Features - Main House: - Old 4-bedroomed house - Lounge - Dining area - Kitchen - Bathroom and toilet - Cottage: - Currently rented out to a panel beating company Additional Features - Water Supply: Borehole - Security: Walled and gated - Entrances: 2 entrances - Roads: Well-serviced tarred roads Potential Uses - Commercial: Suitable for a mall, office space, or other commercial ventures - Institutional: Ideal for a school, church, or other institutional use - Residential: Can be renovated for residential purposes, including clusters or apartments Asking Price - $510,000 USD (negotiable) This dilapidated property offers a unique opportunity for renovators and investors to transform it into a thriving business or residential hub. Its strategic location and large size make it an attractive prospect for various uses.",Listing ref: PNR218536,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 510,000 ",House,Harare,Belgravia,"Borehole,Entertainment Area,Fireplace,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Good ZESA,Main En Suite,Municipal Water,Tarred Roads,Verandah,Walled,Water Tank",2,4,220 m²,"3,800 m²",https://www.property.co.zw//for-sale/houses-pnr218536
Kilford Maurukira,Harare South,/estate-agents/guest-and-tanner,"UPPER WATERFALLS!! A 4beds family house with lounge, kitchen, bathroom with toilet, shower and tub a separate toilet, walled and gated. Very good community and not far from main road. A must see. Deeds available. Please call or WhatsApp for viewing",Listing ref: GAT214396,80000.0,85000.0,90000.0,110000.0,90000.0,85000.0,98000.0,110000.0,115000.0,130000.0,"USD 125,000 ",House,Harare,Waterfalls,,,4,400 m²,"1,141 m²",https://www.property.co.zw//for-sale/houses-gat214396
Tinashe Chataika,Harare West,/estate-agents/heaven-on-earth,"For sale is a beautiful townhouse complex nestled in the serene neighborhood of Bluff Hill, Harare West. This property features three spacious bedrooms, two beautifully fitted bathrooms, and occupies a land area of 500 square meters, exhibiting an ideal fusion of comfort and luxury. The building area extends over 300 square meters, encompassing large living spaces, characterized by ample natural light, and modern kitchen designed for efficient and comfortable use. You will appreciate the blend of contemporary design mixed with homely comforts, evident in the pristine interior design. The complex affords privacy and safety, while still offering a rewarding sense of community for both families and individuals. With the notable size, superior quality of construction, and elegant layout, this property is perfectly suited for comfortable living. This property offers an investment opportunity that brings forth a plethora of benefits. Don't let this rare chance pass you by.",Listing ref: HVN212542,150000.0,125000.0,120000.0,160000.0,128000.0,140000.0,120000.0,130000.0,130000.0,130000.0,"USD 118,000 ",House,Harare,Bluff Hill,,2,3,300 m²,500 m²,https://www.property.co.zw//for-sale/townhouses-hvn212542
Sindi Mangiza,Harare North,/estate-agents/seeff,"Discover the epitome of luxury living in this stunning 5-bedroom, 4-bathroom home nestled in a secluded cul-de-sac in the prestigious suburb of Colne Valley, Harare North. This exquisite property offers a sanctuary of peace and privacy. Set upon a meticulously landscaped acre, this residence provides a haven of tranquility. Step inside to discover spacious living areas, including a grand open-plan lounge and dining room, perfect for entertaining. The second lounge creates a separate living space for privacy or entertaining. The third lounge can be used as a home office with plenty of natural light. The heart of the home is a well-appointed kitchen with granite countertops and a separate utility area and laundry area ensuring seamless functionality. Escape to the master suite, complete with a walk-in closet and en-suite bathroom. The family bathroom is complete with a shower, toilet, basin and bathtub. Guests will appreciate the self-contained  en-suite guest bedroom, offering unparalleled comfort. Enjoy leisure time in the sparkling pool with a water feature, relax in the gazebo, or indulge in the private gym and sauna. With triple  automated garaging, ample water storage, and comprehensive security features, this property effortlessly combines comfort and practicality. Enjoy the serenity of suburban life with the convenience of being just minutes away from local amenities and the vibrant city center of Harare. This is more than a house; it's a lifestyle offering unparalleled luxury, privacy, and space. Make this dream home your reality in the sought-after enclave of Colne Valley.",Listing ref: SEF214823,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 580,000 ",House,Harare,Colne Valley,"Swimming Pool,Air Conditioning,Burglar Alarm,Carport,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitness Center,Fitted Kitchen,Fully Carpeted,Garage,Garden,Good ZESA,Internet Connection,Main En Suite,Paved,Solar System,Staff Quarters,Study/Office,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,5,450 m²,"4,200 m²",https://www.property.co.zw//for-sale/houses-sef214823
,Harare West,javascript:;,"*Luxury Home For Sale in Mount Pleasant Heights – $290,000* Introducing this exquisite property nestled in the prestigious Mount Pleasant Heights, designed for modern living and ultimate comfort. This is your chance to own a luxurious home in a highly sought-after and well-developed neighborhood. *Prime Features:* - *Bedrooms:* 4 spacious bedrooms, including a main en-suite for added privacy - *Storage:* Walk-in closet, offering ample storage space - *Bathrooms:* Relax in a stand-alone tub and shower, with an added separate bath and toilet for convenience - *Kitchen:* Well-fitted kitchen with scullery and pantry, perfect for culinary enthusiasts - *Living Spaces:* Open-plan dining and lounge designed to accommodate effortless entertaining *Land and Amenities:* - *Land Size:* A generous 2,000sqm of prime land, offering plenty of space for future expansion or outdoor activities - *Garage:* Double lock-up garage for secure parking - *Water Supply:* Equipped with a borehole and a 5,000L water tank for reliable water access *Documentation:* - Comes with *Title Deeds*, ensuring a smooth and secure transaction *Why This Home Stands Out:* Located in the highly desirable Mount Pleasant Heights, this property combines luxury, functionality, and a prime location. Ideal for families or discerning buyers looking for convenience in a peaceful yet well-developed area.",Listing ref: t2215594,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 260,000 ",House,Harare,Mt Pleasant Heights,"Borehole,Entertainment Area,Fitted Kitchen,Garage,Good ZESA,Main En Suite,Municipal Water,Tarred Roads,Tiled,Verandah,Walled,Wooden Floor",3,4,325 m²,"2,000 m²",https://www.property.co.zw//for-sale/houses-t2215594
Bryan Orford,Bulawayo South,/estate-agents/rodor-properties,"*RODOR* Sitting on 1966sm, this property is ideally situated close to Morningside shops and has a view on two sides. The home has 4 bedrooms, a lounge, a dining room, a kitchen, front and back verandas, a bathroom, and a separate toilet. On the property there is a refreshing swimming pool, working borehole, water tank, 2 carport, 2 roomed staff quarters, storage cage, chicken run, and the property is walled and gated. AAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAAAAAAAAA",Listing ref: RDR205211,100000.0,85000.0,88500.0,110000.0,75000.0,115000.0,120000.0,120000.0,110000.0,105000.0,"USD 120,000 ",House,Bulawayo,Greenhill,"Borehole,Swimming Pool,Carport,Fitted Kitchen,Garden,Municipal Water",1,4,1 m²,1 m²,https://www.property.co.zw//for-sale/houses-rdr205211
Cheri-ann Ford,Bulawayo East,/estate-agents/pam-golding,"If you are looking or a peaceful place to call your home this is the option for you. A stunning property built in the rocks of Lockview, with 3 spacious bedrooms  master en suite with a dressing room, family bathroom with a separate toilet. The lounge and dining room are open plan with a second lounge/ bar area with a stunning view. There are two self contained cottages, one with one bedroom and the other with two. The swimming pool is set below the house near the built in braai area. There is also a double garage and a single car port right near the house. This property comes with a vacant stand situated right next door on a sperate title deed making room for endless opportunities",Listing ref: PGP215040,140000.0,130000.0,135000.0,140000.0,120000.0,137500.0,167500.0,150000.0,180000.0,165000.0,"USD 230,000 ",House,Bulawayo,Riverside South,"Swimming Pool,Double Storey,Electric Gate,Fitted Kitchen,Flatlet/Cottage,Garage,Good ZESA,Gravel Roads,Internet Connection,Main En Suite,Municipal Water,Solar System,Staff Quarters,Walled,Water Tank",2,3,1 m²,"8,094 m²",https://www.property.co.zw//for-sale/houses-pgp215040
Gavin Chitopo,Harare East,/estate-agents/guest-and-tanner,"Entangled in the famous Greendale suburbs of Harare east is a well positioned property to meet this new millennium city's standards. Property bears vast lands which are useful to convert  to a  cluster home, a school,a shopping mall,a, service station to name just a few possibilities. Besides conversion to commercial use, one can continue to enjoy use of the existing structure which is designed to accommodate 2 or more families by just a few touch ups to  this low density dwelling.Well designed is a solid structure brick under tile house consisting of 4 beds,2 separate kitchens,2 separate lounges, pantries,dining rooms. Additionals include an outside stand alone store room,4 garages, domestic quarters, swimming pool,62 metres borehole and garden. Make a viewing appointment with me today",Listing ref: GAT212135,180000.0,160000.0,200000.0,207000.0,150000.0,155000.0,192000.0,230000.0,230000.0,250000.0,"USD 500,000 ",House,Harare,Greendale,"Borehole,Swimming Pool,Fitted Kitchen,Garden,Good ZESA,Main En Suite,Tarred Roads,Tiled,Verandah,Walled",,4,,"7,986 m²",https://www.property.co.zw//for-sale/houses-gat212135
Bryan Orford,Bulawayo North,/estate-agents/rodor-properties,"*RODOR* 2-Acre Property with 3-Bedroom House - Endless Possibilities! Spacious 2-acre property featuring a 3-bedroom house, lounge, dining room, kitchen, veranda, bathroom, pantry, staff quarters, workshop, storeroom, working borehole & well. Fenced & gated. Ideal for vegetable farming or future development (townhouse, commercial). Don't miss out! AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",Listing ref: RDR215075,55000.0,55000.0,55000.0,60000.0,53500.0,62000.0,65000.0,65500.0,65000.0,70000.0,"USD 90,000 ",House,Bulawayo,Orange Grove,"Borehole,Carport,Entertainment Area,Fitted Kitchen,Garden",1,3,1 m²,1 m²,https://www.property.co.zw//for-sale/houses-rdr215075
Tadiwanashe Chabarwa,Harare West,/estate-agents/deepstateincorporated,"Newly built house for sale in Sandton 4 bed house (3 ensuites) solar powered 5kva & 3 lithium battery modern fitted kitchen 2 lounges,,and braai area electric gate and 8 electric channel security cameras in complete outdoor structure with toilet to be used as office & gym ready for title slightly negotiable",Listing ref: DSI218823,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 180,000 ",House,Harare,Sandton Park,"Electric Gate,Fitted Kitchen,Paved,Solar System,Tiled",3,4,,"1,100 m²",https://www.property.co.zw//for-sale/houses-dsi218823
Donna Cloete,Harare South,/estate-agents/kennan-properties,"Set in amongst established trees, and stunning kopjies stands this prime piece of land with older style home. The 1960's solid house includes a dated but clean kitchen, large open plan dining and living area with functional fireplace. Leading off of this room is a single passage which takes you through to the 3 bedrooms, each with built in cupboards, and to a family bathroom and seperate toilet. The entire living area of the house is finished with original solid wood parquet flooring; bar the kitchen and wet areas which have a cement floor. A small undercover verandah looks out over a deep, disused swimming pool. A borehole has been sited but never drilled, and currently the property owners rely on municipal water which is stored in a tank in the garden. The property is walled and fenced. An added benefit of this property is that the next door vacant land could also be purchased, increasing the overall land to just short of 2.7 acres in total; making it a perfect investment for development. Call Donna to arrange a viewing.",Listing ref: KNP216445,80000.0,80000.0,85000.0,92500.0,78000.0,78000.0,80000.0,85000.0,95000.0,120000.0,"USD 170,000 ",House,Harare,Chadcombe,"Swimming Pool,Carport,Fireplace,Fitted Kitchen,Garage,Garden,Municipal Water,Staff Quarters,Verandah,Walled,Water Tank,Wooden Floor,Workshop",1,3,380 m²,"5,018 m²",https://www.property.co.zw//for-sale/houses-knp216445
simbarashe mupfekeri,Harare North,/estate-agents/pam-golding,"Welcome to this truly magnificent double-storey house in the prestigious Carrick Creagh Estate, set on an large stand in a close measuring 2.5 acres. The stunning expansive home offers luxurious living at its finest. This exceptional home is designed to provide comfort, elegance, and a seamless blend of indoor and outdoor living. The interior features six bedrooms, with the master bedroom boasting a lounge, walk-in dresser, and en suite bathroom which has jacuzzi tubs and multi jet shower. The remaining five bedrooms all have walk in dressers and have ensuite bathroom equipped with jacuzzi tubs and showers. The massive kitchen includes a center island, pantry, scullery, and a nook seating area, complemented by a dining room. There is large main lounge, entrance foyer with guest toilet, two TV rooms, a games area with an adjoining bar, a home office, and a gym. Additionally, the guest wing offers two lounges, a bedroom, two bathrooms, and an entertainment deck. The exterior of the property is equally impressive, with beautifully landscaped grounds featuring indigenous msasa trees and palm trees. The property is walled and gated with an electric gate for added security, and includes a guard house. There is ample parking with a five-car port, a 120m borehole, a sprinkler system, two 10,000-litre water tanks, and two 5,000-litre water tanks. The property also features an incomplete pool with change rooms and entertainment area, a three-roomed staff quarters, a generator, and a basketball half court. This property is a rare find, combining generous space, modern amenities, and a prime location. Don't miss the opportunity to own this remarkable home and create a space that perfectly suits your lifestyle.",Listing ref: PGP209715,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 1,800,000 ",House,Harare,Carrick Creagh,"Borehole,Air Conditioning,Burglar Alarm,Carport,Double Storey,Electric Gate,Entertainment Area,Fireplace,Fitness Center,Fitted Kitchen,Flatlet/Cottage,Garden,Good ZESA,Internet Connection,Main En Suite,Parking bay,Split Level,Staff Quarters,Study/Office,Tarred Roads,Tennis Court,Tiled,Verandah,Walled,Water Tank",9,7,"2,100 m²","9,013 m²",https://www.property.co.zw//for-sale/houses-pgp209715
